연번,노선명,역명,엘리베이터,에스컬레이터,휠체어리프트
333,경부선,천안역사,6,1,0
334,부강화물선,부강화물역사,0,0,0
335,장항선,배방역사,2,4,0
336,장항선,봉명역사,4,8,0
337,장항선,신창역사,3,6,0
338,장항선,쌍용역사,2,4,0
339,장항선,삽교역사,3,6,0
340,장항선,신례원역사,2,4,0
341,장항선,남포역사,0,0,0
342,장항선,대천역사,3,6,0
343,장항선,서천역사,2,4,0
344,장항선,웅천역사,2,4,0
345,장항선,장항역사,2,4,0
346,장항선,주포역사,0,0,0
347,장항선,청소역사,0,0,0
348,장항선,판교역사(장항선),2,4,0
349,장항선,아산역사,6,22,1
350,장항선,온양온천역사,5,10,0
351,장항선,광천역사,0,0,0
352,장항선,도고온천역사,2,4,0
353,장항선,신성역사,0,0,0
354,장항선,예산역사,3,6,0
355,장항선,홍성역사,3,6,0
356,장항선,화양역사,0,0,0
357,정선선,구절리역사,0,0,0
358,정선선,나전역사,0,0,0
359,정선선,별어곡역사,0,0,0
360,정선선,선평역사,0,0,0
361,정선선,아우라지역사,0,0,0
362,정선선,정선역사,0,0,0
363,중부내륙선,가남역사,1,2,0
364,중부내륙선,감곡장호원역사,4,6,0
365,중부내륙선,앙성온천역사,1,2,0
366,중앙선,도담역사,0,0,0
367,중앙선,삼곡역사,0,0,0
368,중앙선,고명역사,0,0,0
369,중앙선,제천조차장역사,0,0,0
370,중앙선,단양역사,3,6,0
371,중앙선,제천역사,4,9,0
372,중앙선,봉양역사,2,0,0
373,충북선,도안역사,0,0,0
374,충북선,음성역사,0,0,0
375,충북선,청주역사,3,3,0
376,충북선,동량역사,0,0,0
377,충북선,내수역사,0,0,0
378,충북선,보천역사,0,0,0
379,충북선,오근장역사,3,4,0
380,충북선,증평역사,0,0,0
381,충북선,공전역사,0,0,0
382,충북선,달천역사,0,0,0
383,충북선,목행역사,0,0,0
384,충북선,삼탄역사,0,0,0
385,충북선,소이역사,0,0,0
386,충북선,주덕역사,0,0,0
387,충북선,충주역사,4,8,0
388,태백선,석항역사,0,0,0
389,태백선,예미역사,0,0,0
390,태백선,쌍룡역사,0,0,0
391,태백선,연당역사,0,0,0
392,태백선,입석리역사,0,0,0
393,태백선,고한역사,0,0,0
394,태백선,민둥산역사,0,0,0
395,태백선,사북역사,0,0,0
396,태백선,영월역사,0,0,0
397,태백선,자미원역사,0,0,0
398,함백선,함백역사,0,0,0
399,호남고속,공주역사,2,6,0
400,호남선,흑석리역사,0,0,0
401,호남선,가수원역사,0,0,0
402,호남선,강경역사,3,0,0
403,호남선,개태사역사,0,0,0
404,호남선,계룡역사,3,5,0
405,호남선,논산역사,3,0,0
406,호남선,부황역사,0,0,0
407,호남선,서대전역사,4,7,0
408,호남선,연산역사,0,0,0
409,군산항선,군산항역사,0,0,0
410,북전주선,북전주역사,0,0,0
411,장항선,군산역사,3,4,0
412,장항선,대야역사,2,4,0
413,전라선,동익산역사,0,0,0
414,전라선,관촌역사,0,0,0
415,전라선,동산역사,0,0,0
416,전라선,금지역사,0,0,0
417,전라선,남원역사,3,3,0
418,전라선,봉천역사,0,0,0
419,전라선,산성역사,0,0,0
420,전라선,삼례역사,0,0,0
421,전라선,서도역사,0,0,0
422,전라선,신리역사,0,0,0
423,전라선,오수역사,0,0,0
424,전라선,임실역사,0,0,0
425,전라선,전주역사,0,0,0
426,전라선,주생역사,0,0,0
427,전라선,죽림온천역사,0,0,0
428,호남고속,익산역사,7,15,0
429,호남고속,정읍역사,6,12,0
430,호남선,황등역사,0,0,0
431,호남선,김제역사,3,0,0
432,호남선,노령역사,0,0,0
433,호남선,부용역사,0,0,0
434,호남선,신태인역사,3,0,0
435,호남선,와룡역사,0,0,0
436,호남선,용동역사,0,0,0
437,호남선,천원역사,0,0,0
438,호남선,함열역사,0,0,0
439,경전선,광양역사,2,0,0
440,경전선,남평역사,0,0,0
441,경전선,능주역사,0,0,0
442,경전선,서광주역사,0,0,2
443,경전선,이양역사,0,0,0
444,경전선,화순역사,0,0,0
445,경전선,효천역사,0,0,3
446,경전선,득량역사,0,0,0
447,경전선,명봉역사,0,0,0
448,경전선,벌교역사,0,0,0
